timestamp,dis1,dis2,dis3,vel1,vel2,vel3,b1,b2,b3
34.33,-415.156,7886.42,5210.13,-6.09235,0.971934,-0.168167,4.42683e-321,4.42683e-321,4.42683e-321
34.34,-418.811,7887,5210.03,-6.09224,0.969708,-0.16964,4.42683e-321,4.42683e-321,4.42683e-321
34.35,-422.467,7887.58,5209.93,-6.09212,0.967482,-0.171113,4.42683e-321,4.42683e-321,4.42683e-321
34.36,-426.122,7888.16,5209.83,-6.092,0.965256,-0.172586,4.42683e-321,4.42683e-321,4.42683e-321
34.37,-429.778,7888.74,5209.72,-6.09188,0.963031,-0.174058,4.42683e-321,4.42683e-321,4.42683e-321
34.38,-433.433,7889.31,5209.62,-6.09176,0.960806,-0.17553,4.42683e-321,4.42683e-321,4.42683e-321
34.39,-437.089,7889.89,5209.51,-6.09163,0.958581,-0.177002,4.42683e-321,4.42683e-321,4.42683e-321
34.4,-440.744,7890.46,5209.4,-6.09151,0.956357,-0.178473,4.42683e-321,4.42683e-321,4.42683e-321
34.41,-444.399,7891.04,5209.3,-6.09139,0.954133,-0.179945,4.42683e-321,4.42683e-321,4.42683e-321
34.42,-448.054,7891.61,5209.19,-6.09126,0.951909,-0.181415,4.42683e-321,4.42683e-321,4.42683e-321
34.43,-451.709,7892.18,5209.08,-6.09113,0.949685,-0.182886,4.42683e-321,4.42683e-321,4.42683e-321
34.44,-455.364,7892.75,5208.97,-6.09101,0.947462,-0.184356,4.42683e-321,4.42683e-321,4.42683e-321
34.45,-459.019,7893.32,5208.86,-6.09088,0.945238,-0.185826,4.42683e-321,4.42683e-321,4.42683e-321
34.46,-462.674,7893.88,5208.74,-6.09075,0.943015,-0.187296,4.42683e-321,4.42683e-321,4.42683e-321
34.47,-466.329,7894.45,5208.63,-6.09062,0.940793,-0.188765,4.42683e-321,4.42683e-321,4.42683e-321
34.48,-469.983,7895.01,5208.52,-6.09049,0.93857,-0.190234,4.42683e-321,4.42683e-321,4.42683e-321
34.49,-473.638,7895.58,5208.4,-6.09035,0.936348,-0.191703,4.42683e-321,4.42683e-321,4.42683e-321
34.5,-477.292,7896.14,5208.29,-6.09022,0.934126,-0.193171,4.42683e-321,4.42683e-321,4.42683e-321
34.51,-480.947,7896.7,5208.17,-6.09008,0.931904,-0.19464,4.42683e-321,4.42683e-321,4.42683e-321
34.52,-484.601,7897.25,5208.05,-6.08995,0.929683,-0.196107,4.42683e-321,4.42683e-321,4.42683e-321
34.53,-488.255,7897.81,5207.94,-6.08981,0.927462,-0.197575,4.42683e-321,4.42683e-321,4.42683e-321
