timestamp,dis1,dis2,dis3,vel1,vel2,vel3
2860,-9382.78,3889.53,620.782,-1.70975,-4.36916,-3.1904
2870,-9737.62,1061.26,-1292.07,0.574587,-4.95541,-3.1066
2880,-8650.72,-1914.95,-3007.04,3.06717,-4.82838,-2.51532
2890,-6067.07,-4540.62,-4187.93,5.49749,-3.73799,-1.30906
2900,-2186.29,-6150.77,-4442.49,7.2446,-1.40833,0.564591
2910,2262.23,-5994.69,-3431.51,7.17001,2.05771,2.80514
2920,5851.81,-3700.83,-1205.73,4.3488,5.39006,4.39542
2930,7144.39,47.8831,1495.46,-0.0988069,6.66702,4.31352
2940,5899.72,3825.04,3694.51,-3.78093,5.62342,2.87795
2950,2969.42,6571.29,4876.72,-5.69534,3.4401,1.06385
2960,-632.394,7920.85,5012.23,-6.1007,1.07562,-0.557603
2970,-4146.13,7911.45,4281.77,-5.4716,-1.05052,-1.81071
2980,-7060.42,6737.69,2917.48,-4.14599,-2.79168,-2.66937
2990,-9022.83,4651.48,1156.28,-2.32421,-4.08232,-3.13206
3000,-9775.28,1943.61,-758.903,-0.130897,-4.84794,-3.17596
3010,-9128.59,-1035.19,-2560.35,2.31598,-4.95646,-2.73956
3020,-6985.86,-3829.02,-3931.12,4.80481,-4.18609,-1.72262
3030,-3448.23,-5824.35,-4493.2,6.84799,-2.24877,-0.0392899
3040,947.095,-6270.4,-3870.32,7.45484,0.942583,2.16071
3050,4966.05,-4603.41,-1953.15,5.45994,4.53108,4.07722
3060,7037.14,-1152.02,717.43,1.24427,6.56554,4.52055
3070,6490.23,2764.36,3144.51,-2.8599,6.12186,3.37611
3080,3948.53,5889.28,4641.55,-5.30683,4.15011,1.58438
3090,453.283,7667.91,5065.07,-6.10834,1.77325,-0.126844
3100,-3149.34,8050.33,4559.26,-5.74231,-0.449606,-1.4937
3110,-6283,7200.45,3351.2,-4.59604,-2.31594,-2.4653
3120,-8556.73,5358,1678.8,-2.90576,-3.74863,-3.04081
3130,-9689.58,2801.68,-217.566,-0.812326,-4.68223,-3.20708
3140,-9472.93,-139.258,-2079.82,1.57226,-5.00631,-2.91591
3150,-7777.09,-3046.17,-3608.43,4.07877,-4.52831,-2.07794
3160,-4626.65,-5357.05,-4443.53,6.32832,-2.96949,-0.592254
3170,-395.666,-6348.49,-4194.58,7.49599,-0.126053,1.49901
3180,3900.73,-5336.81,-2632.6,6.35232,3.52118,3.62355
3190,6686.72,-2312.82,-84.9265,2.6066,6.22235,4.58349
3200,6901.64,1624.57,2511.19,-1.77837,6.48371,3.82445
3210,4845.44,5081.1,4314.71,-4.77004,4.8298,2.11767
3220,1531.59,7287.41,5040.99,-6.01446,2.48867,0.335541
3230,-2110.23,8078.08,4779.66,-5.94621,0.185255,-1.14339
3240,-5429.8,7574.36,3747.39,-4.99944,-1.80057,-2.2294
3250,-7990.56,6000.84,2182.87,-3.45199,-3.37024,-2.91735
3260,-9485.15,3625.41,325.637,-1.46689,-4.46243,-3.202
3270,-9685.85,759.458,-1573.4,0.84238,-4.98496,-3.04771
3280,-8436.52,-2210.36,-3229.83,3.33545,-4.77326,-2.37779
3290,-5702.72,-4770.57,-4303.16,5.71867,-3.57007,-1.08846
3300,-1725.17,-6240.91,-4404.1,7.32616,-1.11102,0.848734
3310,2698.87,-5879.34,-3222.99,6.98974,2.42387,3.06623
3320,6096.41,-3390.47,-884.778,3.91217,5.63799,4.48729
3330,7106.74,433.859,1805.52,-0.557248,6.669,4.19451
3340,5632.52,4154.26,3894.75,-4.07314,5.45369,2.65126
3350,2583.25,6776.8,4934.51,-5.80552,3.21224,0.82709
3360,-1041.39,7988.75,4937.15,-6.07465,0.851096,-0.759336
3370,-4509.5,7852.35,4100.56,-5.35143,-1.24683,-1.96113
3380,-7330.84,6572.14,2663.08,-3.96021,-2.94888,-2.76204
3390,-9167.05,4405.41,864.731,-2.09213,-4.192,-3.16234
3400,-9770.4,1648.74,-1048.47,0.131182,-4.89852,-3.13794
3410,-8962.4,-1338.31,-2804.67,2.58715,-4.92952,-2.62548
3420,-6663.09,-4086.22,-4082.36,5.04668,-4.05504,-1.526
3430,-3007.08,-5965.03,-4503.08,6.98357,-1.98928,0.230879
3440,1407.6,-6220.98,-3709.47,7.36269,1.30304,2.44239
3450,5283.51,-4343.17,-1653.83,5.08333,4.83731,4.2313
3460,7083.65,-772.546,1043.75,0.764255,6.64144,4.4561
3470,6280.35,3121.45,3382.82,-3.20938,5.99015,3.16781
3480,3586.47,6135.62,4740.75,-5.46701,3.93055,1.34336
3490,42.9174,7777,5025.8,-6.1175,1.54366,-0.341482
3500,-3531.67,8027.59,4405.1,-5.64629,-0.656169,-1.65983
3510,-6584.57,7064.27,3114.05,-4.42727,-2.48598,-2.5749
3520,-8740.76,5132.85,1393.99,-2.68574,-3.87374,-3.08928
3530,-9730.37,2517.39,-511.858,-0.557599,-4.75221,-3.18918
3540,-9354.91,-445.207,-2341.7,1.84318,-5.00514,-2.82449
3550,-7498.89,-3324.19,-3791.44,4.33462,-4.43163,-1.90557
3560,-4214,-5541.25,-4498.71,6.50627,-2.74958,-0.340841
3570,73.5031,-6362.62,-4083.75,7.48467,0.213919,1.7883
3580,4278.5,-5135.69,-2365.09,6.05368,3.86729,3.83062
3590,6819.27,-1953.68,247.351,2.12797,6.37581,4.58167
3600,6759.04,2001.6,2783.56,-2.18101,6.40208,3.64472
3610,4516.78,5366.21,4455.75,-4.98436,4.62554,1.87711
3620,1126.46,7438.41,5039.68,-6.06303,2.25681,0.109513
3630,-2507.01,8093.5,4655.27,-5.87714,-0.0304731,-1.32479
3640,-5759.37,7469.84,3530.35,-4.84946,-1.98279,-2.35567
3650,-8212.14,5799.36,1907.84,-3.24533,-3.50994,-2.98362
3660,-9570.13,3355.07,29.9882,-1.22095,-4.55044,-3.20357
3670,-9615.64,455.115,-1849,1.11052,-5.00737,-2.97812
3680,-8204.79,-2503.25,-3440.37,3.59992,-4.70828,-2.22941
3690,-5325.12,-4991.18,-4400.01,5.92867,-3.38942,-0.85871
3700,-1260.86,-6313.93,-4343.57,7.38485,-0.801754,1.13496
3710,3121.94,-5742.75,-2995.48,6.77873,2.78927,3.31347
3720,6312.41,-3065.55,-557.938,3.46086,5.8656,4.55181
3730,7040.18,820.687,2106.06,-1.00366,6.64941,4.05455
3740,5347.2,4474.66,4077.14,-4.34458,5.2735,2.41739
3750,2190.75,6969.86,4973.05,-5.89803,2.98185,0.591838
3760,-1447.58,8043.91,4845.13,-6.03576,0.627624,-0.955394
3770,-4863.57,7781.68,3906.48,-5.22226,-1.4405,-2.10382
3780,-7587.46,6396.9,2400.84,-3.76829,-3.10241,-2.84578
3790,-9294.51,4152.18,570.988,-1.85631,-4.29685,-3.1828
3800,-9747.25,1350.08,-1334.11,0.394482,-4.94258,-3.0894
3810,-8778.2,-1640.6,-3038.63,2.85598,-4.8936,-2.50055
3820,-6325.38,-4336.3,-4216.89,5.28003,-3.91199,-1.31945
3830,-2559.03,-6090.84,-4491.47,7.10013,-1.71672,0.506014
3840,1860,-6150.66,-3527.69,7.24055,1.66817,2.71563
3850,5575.72,-4065.06,-1344,4.68443,5.12813,4.36027
3860,7099.69,-388.089,1364.55,0.289597,6.69378,4.36703
3870,6048.71,3471.91,3604.82,-3.53878,5.84455,2.94862
3880,3214.83,6370.1,4820.56,-5.60811,3.70663,1.10193
3890,-367.024,7873.19,4968.65,-6.11245,1.31434,-0.551312
3900,-3906.36,7992.79,4236.8,-5.54027,-0.860472,-1.81866
